age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
3.088166,9.048036,0.13479397,0.0076402975,380.7321,0.030216992,7.7305984,9.4897,4.109573,1.2956395,1.4883298,0.10000001,7.41873,1.6624091,8.410866,6306.5166
3.1985283,9.055508,0.13492721,0.0056229737,384.1987,0.030343056,7.713464,9.50495,4.098233,1.2934816,1.4719226,0.099999994,7.411403,1.6834517,8.407427,6267.046
2.8885124,8.97446,0.13314794,0.0057747914,377.24728,-0.01379931,7.716016,9.460674,4.1203966,1.2944226,1.5050263,0.10000001,7.510443,1.6421018,8.36535,6403.584
2.736076,9.076822,0.13095528,0.013541044,366.66934,0.19494128,7.7313766,9.437127,4.1482115,1.3381413,1.6061491,0.10000001,7.6361947,1.6169341,8.417429,6257.4785
2.7273004,9.072513,0.13106014,0.016085159,366.55273,0.20205995,7.7246866,9.435733,4.146017,1.3422029,1.6104032,0.10000001,7.630085,1.6233408,8.411564,6253.135
2.881242,9.101349,0.13174567,0.00481142,372.0004,0.1824278,7.7352486,9.4595785,4.139105,1.3298019,1.5750347,0.1,7.590382,1.6309841,8.433559,6226.1274
2.8663187,9.080706,0.13176276,0.0048899893,371.9473,0.18028855,7.718554,9.457324,4.134217,1.3341643,1.5768605,0.099999994,7.589398,1.6421479,8.41467,6232.131
2.9216206,9.0589905,0.13377242,0.010592924,375.24344,0.122434825,7.719843,9.465624,4.120579,1.3258008,1.547059,0.10000001,7.4753823,1.6619402,8.406654,6270.7637
2.8967834,9.01823,0.13319217,0.0067300093,375.71765,0.07515052,7.7093573,9.461916,4.1199346,1.3162303,1.5345808,0.099999994,7.5079494,1.6568913,8.381865,6319.7354
2.9936686,8.967167,0.13559434,0.0045206794,382.9909,-0.06333828,7.7059374,9.476203,4.097598,1.2891967,1.4723548,0.1,7.374939,1.6830555,8.359251,6404.568
3.2670758,9.070299,0.13525206,0.0048272447,386.08966,0.0013272762,7.7349877,9.514159,4.100246,1.2792624,1.4525546,0.1,7.393603,1.6706398,8.427315,6277.7534
3.3212528,9.086792,0.13555649,0.0050812364,387.5465,0.016285151,7.7321105,9.521302,4.095832,1.2818696,1.4501437,0.1,7.3769984,1.6815593,8.43466,6247.7627
3.222762,9.031561,0.13586962,0.0052339104,387.00568,-0.012866527,7.7021914,9.508228,4.0864196,1.2872579,1.454196,0.10000001,7.3599973,1.7025334,8.391499,6288.078
3.0625257,9.062664,0.1354159,0.008119556,380.0748,0.048312336,7.7394743,9.486079,4.1107244,1.3018636,1.4985232,0.099999994,7.384658,1.664679,8.421939,6297.52
3.1659517,9.080906,0.13555148,0.0059887236,381.80875,0.058642596,7.7327943,9.500504,4.104008,1.3003538,1.4861745,0.1,7.377271,1.6756788,8.428528,6257.8213
3.1689644,9.084864,0.13555805,0.006001547,381.7973,0.059521914,7.73602,9.500917,4.104968,1.2997487,1.4860377,0.099999994,7.376913,1.6736184,8.432133,6256.716
3.0835426,9.070007,0.13524632,0.0069249175,380.31375,0.11862922,7.699032,9.489049,4.0990744,1.3261231,1.5193876,0.10000001,7.3939166,1.7027984,8.403943,6221.1562
3.0745173,9.056903,0.1352469,0.006507162,380.63,0.11861169,7.6852183,9.487777,4.0946274,1.3296435,1.5208119,0.10000001,7.3938847,1.7137238,8.390419,6219.798
2.7342808,9.074755,0.13523142,0.007233733,369.2426,0.17440826,7.7399225,9.436842,4.1281133,1.3486732,1.599134,0.099999994,7.394731,1.6605972,8.420862,6274.5225
2.632376,9.011955,0.13621141,0.0060133208,369.64758,0.16460907,7.6964273,9.420347,4.112363,1.3667712,1.6156282,0.1,7.341529,1.7021649,8.366741,6304.411
2.5895026,9.06015,0.13502823,0.0142507395,365.83646,0.21490452,7.7248554,9.413217,4.1303673,1.3685896,1.6425374,0.10000001,7.405859,1.6690584,8.403466,6270.6416
2.616791,9.030644,0.13373432,0.0072073014,366.81317,0.1580239,7.7235937,9.4177685,4.134618,1.3499556,1.6163713,0.1,7.4775124,1.6498088,8.389887,6319.126
2.430387,8.986368,0.13358139,0.0055604875,361.69806,0.15841246,7.7121687,9.385675,4.1393642,1.3631978,1.656556,0.10000001,7.486073,1.647794,8.359573,6370.828
2.4082086,9.028636,0.13131833,0.0069842516,357.9193,0.20317155,7.73005,9.381693,4.158041,1.3596963,1.6784122,0.10000001,7.6150827,1.6108936,8.388836,6329.6797
